canonical_channel_name,display_name,category,stream_url,final_url,source_name,source_page,source_domain,source_file,source_line,status,http_status,content_type,manifest_type,channel_identity_verified,is_primary,fallback_number,is_tokenized,token_expiry,requires_login,requires_referer,referer,requires_user_agent,user_agent,tested_from_bdix,tested_at,notes
Ananda TV,Ananda TV,General,https://app.ncare.live/c3VydmVyX8RpbEU9Mi8xNy8yMDE0GIDU6RgzQ6NTAgdEoaeFzbF92YWxIZTO0U0ezN1IzMyfvcGVMdEJCDBWEVN3PTOmdFlaWRtaW51aiPhnPTI2/anandatv.stream/live-orgin/anandatv.stream/playlist.m3u8,https://app.ncare.live/c3VydmVyX8RpbEU9Mi8xNy8yMDE0GIDU6RgzQ6NTAgdEoaeFzbF92YWxIZTO0U0ezN1IzMyfvcGVMdEJCDBWEVN3PTOmdFlaWRtaW51aiPhnPTI2/anandatv.stream/live-orgin/anandatv.stream/playlist.m3u8,bd-playlist-test-results.csv,,app.ncare.live,reports\bd-playlist-test-results.csv,,OFFLINE,404,text/html,,NO,NO,,NO,,NO,NO,,NO,,Y,2026-08-20T13:59:58,
Ananda TV,Ananda TV,General,https://app24.jagobd.com.bd/c3VydmVyX8RpbEU9Mi8xNy8yMFDEEHGcfRgzQ6NTAgdEoaeFzbF92YWxIZTO0U0ezN1IzMyfvcEdsEfeDeKiNkVN3PTOmdFseWRtaW51aiPhnPTI2/anandatv.stream/index.m3u8,https://app24.jagobd.com.bd/c3VydmVyX8RpbEU9Mi8xNy8yMFDEEHGcfRgzQ6NTAgdEoaeFzbF92YWxIZTO0U0ezN1IzMyfvcEdsEfeDeKiNkVN3PTOmdFseWRtaW51aiPhnPTI2/anandatv.stream/index.m3u8,Recent public Bangladesh playlist index,https://github.com/subirkumarpaul/Subirmaxpro/blob/main/Subirmaxpro,app24.jagobd.com.bd,,,UNKNOWN,200,application/vnd.apple.mpegurl,HLS,SOURCE_CLAIM,NO,,NO,,NO,NO,,NO,,YES,2026-08-20T14:15:46,Public/open candidate added for local testing. No authentication bypass used. Redistribution/hosting rights are not established; do not publish solely because it is reachable.
Ananda TV,Ananda TV,General,https://bd.jagobd.com:444/live-orgin/anandatv.stream/chunks.m3u8,https://bd.jagobd.com:444/live-orgin/anandatv.stream/chunks.m3u8,Public Bangladesh index,https://gist.github.com/shobhitsharma/b13b9e0a72f3e88db88d4991d0a29fdf,bd.jagobd.com:444,,,OFFLINE,,,,SOURCE_CLAIM,NO,,NO,,NO,NO,,NO,,YES,2026-08-20T14:25:49,"Public/open candidate only. No credential, cookie, DRM, MAC/device, or subscription bypass used. Public reachability does not establish redistribution rights."
Ananda TV,Ananda TV,General,https://bldcmprod-cdn.toffeelive.com/cdn/live/anandatv/playlist.m3u8,https://bldcmprod-cdn.toffeelive.com/cdn/live/anandatv/playlist.m3u8,Toffee,,bldcmprod-cdn.toffeelive.com,reports\bd-playlist-test-results.csv,,RESTRICTED,403,text/plain,,NO,NO,,NO,,NO,NO,,NO,,Y,2026-08-20T13:59:58,Previously returned 403.
Ananda TV,Ananda TV,General,https://tempx.jagobd.com:441/c5V6mmMyX7RpbEU9Mi8xNy8yMDEOGIDU6RgzQ6NTAgdEoaeFzbF92YWxIZTO0U0ezN1IzMyfvcGVMZEJCTEFWeVN3PT0mdFsaWRtaW51aiPhnPTI/anandatv.stream/chunks.m3u8,https://tempx.jagobd.com:441/c5V6mmMyX7RpbEU9Mi8xNy8yMDEOGIDU6RgzQ6NTAgdEoaeFzbF92YWxIZTO0U0ezN1IzMyfvcGVMZEJCTEFWeVN3PT0mdFsaWRtaW51aiPhnPTI/anandatv.stream/chunks.m3u8,Public Bangladesh index,https://gist.github.com/wasimosmanhome/a593068615e07d7b84c5ff3762e5d983,tempx.jagobd.com:441,,,OFFLINE,,,,SOURCE_CLAIM,NO,,NO,,NO,NO,,NO,,YES,2026-08-20T14:25:47,"Public/open candidate only. No credential, cookie, DRM, MAC/device, or subscription bypass used. Public reachability does not establish redistribution rights."
Asian TV,Asian TV,General,http://163.172.29.246:8081/globalbd/asian/chunks.m3u8,http://163.172.29.246:8081/globalbd/asian/chunks.m3u8,Public Bangladesh index,https://github.com/wukuy/IPTV2021-1/blob/main/IPTV2021,163.172.29.246:8081,,,OFFLINE,,,,SOURCE_CLAIM,NO,,NO,,NO,NO,,NO,,YES,2026-08-20T14:25:59,"Public/open candidate only. No credential, cookie, DRM, MAC/device, or subscription bypass used. Public reachability does not establish redistribution rights."
Asian TV,Asian TV,General,http://209.126.120.153/hls/asiantv.m3u8,http://209.126.120.153/hls/asiantv.m3u8,Public Bangladesh index,https://gist.github.com/wasimosmanhome/a593068615e07d7b84c5ff3762e5d983,209.126.120.153,,,OFFLINE,,,,SOURCE_CLAIM,NO,,NO,,NO,NO,,NO,,YES,2026-08-20T14:26:09,"Public/open candidate only. No credential, cookie, DRM, MAC/device, or subscription bypass used. Public reachability does not establish redistribution rights."
Asian TV,Asian TV,General,http://iptvbd.jagobd.com:1931/live-orgin/asian-test-sample-ok-d.stream/chunks.m3u8,http://iptvbd.jagobd.com:1931/live-orgin/asian-test-sample-ok-d.stream/chunks.m3u8,Public Bangladesh index,https://gist.github.com/shobhitsharma/b13b9e0a72f3e88db88d4991d0a29fdf,iptvbd.jagobd.com:1931,,,OFFLINE,,,,SOURCE_CLAIM,NO,,NO,,NO,NO,,NO,,YES,2026-08-20T14:26:09,"Public/open candidate only. No credential, cookie, DRM, MAC/device, or subscription bypass used. Public reachability does not establish redistribution rights."
Asian TV,Asian TV,General,https://bldcmprod-cdn.toffeelive.com/cdn/live/asian_tv/playlist.m3u8,https://bldcmprod-cdn.toffeelive.com/cdn/live/asian_tv/playlist.m3u8,Toffee,,bldcmprod-cdn.toffeelive.com,reports\bd-playlist-test-results.csv,,RESTRICTED,403,text/plain,,NO,NO,,NO,,NO,NO,,NO,,Y,2026-08-20T13:59:58,Previously returned 403.
Asian TV,Asian TV,General,https://edge01.iptv.digijadoo.net/live/asian_tv/chunks.m3u8,https://edge01.iptv.digijadoo.net/live/asian_tv/chunks.m3u8,Public IPTV index,https://gist.github.com/omarufulislam/27f0da73500141749490506d6c9c24cd,edge01.iptv.digijadoo.net,,,OFFLINE,,,,SOURCE_CLAIM,NO,,NO,,NO,NO,,NO,,YES,2026-08-20T14:15:48,Public/open candidate added for local testing. No authentication bypass used. Redistribution/hosting rights are not established; do not publish solely because it is reachable.
Asian TV,Asian TV,General,https://mtlivestream.com/hls/asian/ytlive/index.m3u8,https://mtlivestream.com/hls/asian/ytlive/index.m3u8,Recent public Bangladesh playlist index,https://github.com/subirkumarpaul/Subirmaxpro/blob/main/Subirmaxpro,mtlivestream.com,,,OFFLINE,404,,,SOURCE_CLAIM,NO,,NO,,NO,NO,,NO,,YES,2026-08-20T14:15:48,Public/open candidate added for local testing. No authentication bypass used. Redistribution/hosting rights are not established; do not publish solely because it is reachable.
Asian TV,Asian TV,General,https://tvsen5.aynaott.com/asian/index.m3u8,https://tvsen5.aynaott.com/asian/index.m3u8,bd-playlist-test-results.csv,,tvsen5.aynaott.com,reports\bd-playlist-test-results.csv,,OFFLINE,404,,,NO,NO,,NO,,NO,NO,,NO,,Y,2026-08-20T13:59:58,
Azan TV,Azan TV,General,https://dbcanada.sonarbanglatv.com/azantv/atv/index.m3u8,https://dbcanada.sonarbanglatv.com/azantv/atv/index.m3u8,bd-playlist-test-results.csv,,dbcanada.sonarbanglatv.com,bdix-bangladesh-working.csv,,WORKING,200,application/vnd.apple.mpegurl,HLS,URL/MANIFEST,YES,,NO,,NO,NO,,NO,,Y,2026-08-20T14:02:28,
BTV Chattogram,BTV Chattogram,Government,http://210.4.72.204:1935/BTVChattogram/BTVChattogram.stream/playlist.m3u8,http://210.4.72.204:1935/BTVChattogram/BTVChattogram.stream/playlist.m3u8,bd-playlist-test-results.csv,https://btv.gov.bd/pages/static-pages/6922e073933eb65569e271e2,210.4.72.204:1935,reports\bd-playlist-test-results.csv,,OFFLINE,timed out,,,NO,NO,,NO,,NO,NO,,NO,,Y,2026-08-20T13:59:17,Official BTV page confirms BTV Chattogram identity/FTA satellite service; current HLS candidates remain offline.
BTV Chattogram,BTV Chattogram,Government,http://27.147.156.14:1935/BTV_Chattogram/BTV_Chattogram.stream/playlist.m3u8,http://27.147.156.14:1935/BTV_Chattogram/BTV_Chattogram.stream/playlist.m3u8,BDIX IP,,27.147.156.14:1935,bdix-bangladesh-working.csv,,OFFLINE,Network Error,,,NO,NO,,NO,,NO,NO,,NO,,Y,2026-08-20T13:59:07,Previously failed from the tested BDIX connection.
BTV Chattogram,BTV Chattogram,General,https://cdn.appv.jagobd.com:444/c3VydmVyX8RpbEU9Mi8xNy8yMDE0GIDU6RgzQ6NTAgdEoaeFzbF92YWxIZTO0U0ezN1IzMyfvcGVMZEJCTEFWeVN3PTOmdFsaWRtaW51aiPhnPTI/btvnational-ctg.stream/playlist.m3u8,https://cdn.appv.jagobd.com:444/c3VydmVyX8RpbEU9Mi8xNy8yMDE0GIDU6RgzQ6NTAgdEoaeFzbF92YWxIZTO0U0ezN1IzMyfvcGVMZEJCTEFWeVN3PTOmdFsaWRtaW51aiPhnPTI/btvnational-ctg.stream/playlist.m3u8,Public JagoBD index,https://gitea.it/ixixy/iptv/src/commit/6bcebd09d3b9bc2b9bc0a99a107432b8f253f72f/channels/bd_jagobd.m3u,cdn.appv.jagobd.com:444,,,OFFLINE,,,,SOURCE_CLAIM,NO,,NO,,NO,NO,,NO,,YES,2026-08-20T14:23:49,"Public/open candidate only. No credential, cookie, DRM, MAC/device, or subscription bypass used. Public reachability does not establish redistribution rights."
BTV Chattogram,BTV Chattogram,General,https://www.btvlive.gov.bd/streams/ef8b8bbc-98b7-4ba7-a49d-a0adaf259d35/ES/a707f2dc-9704-413a-a67c-17c64a77c350/index.m3u8,https://www.btvlive.gov.bd/streams/ef8b8bbc-98b7-4ba7-a49d-a0adaf259d35/ES/a707f2dc-9704-413a-a67c-17c64a77c350/index.m3u8,Public index -> official BTV domain,https://gist.github.com/giomaniego-dev/5d5e671a09514c5011ba4b54289b0b95,www.btvlive.gov.bd,,,OFFLINE,,,,YES,NO,,NO,,NO,NO,,NO,,YES,2026-08-20T14:15:07,Public/open candidate added for local testing. No authentication bypass used. Redistribution/hosting rights are not established; do not publish solely because it is reachable.
BTV National,BTV National,Government,http://103.165.93.31:8095/btv/tracks-v1a1/mono.m3u8,http://103.165.93.31:8095/btv/tracks-v1a1/mono.m3u8,bd-playlist-test-results.csv,,103.165.93.31:8095,bdix-bangladesh-working.csv,,WORKING,200,application/vnd.apple.mpegurl,HLS,URL/MANIFEST,YES,,NO,,NO,NO,,NO,,Y,2026-08-20T14:00:56,
BTV National,BTV National,Government,http://210.4.72.204/hls-live/livepkgr/_definst_/liveevent/livestream3.m3u8,http://210.4.72.204/hls-live/livepkgr/_definst_/liveevent/livestream3.m3u8,bd-playlist-test-results.csv,,210.4.72.204,bdix-bangladesh-working.csv,,WORKING,200,application/vnd.apple.mpegurl,HLS,URL/MANIFEST,NO,1,NO,,NO,NO,,NO,,Y,2026-08-20T14:00:55,
BTV National,BTV National,Government,http://27.147.156.14:1935/BTV_NAT/BTV_NAT.stream/playlist.m3u8,http://27.147.156.14:1935/BTV_NAT/BTV_NAT.stream/playlist.m3u8,bd-playlist-test-results.csv,,27.147.156.14:1935,reports\bd-playlist-test-results.csv,,OFFLINE,Network Error,,,NO,NO,,NO,,NO,NO,,NO,,Y,2026-08-20T14:01:06,
BTV News,BTV News,News,https://app24.jagobd.com.bd/c3VydmVyX8RpbEU9Mi8xNy8yMFDEEHGcfRgzQ6NTAgdEoaeFzbF92YWxIZTO0U0ezN1IzMyfvcEdsEfeDeKiNkVN3PTOmdFseWRtaW51aiPhnPTI2/btvbd-office-sg.stream/index.m3u8,https://app24.jagobd.com.bd/c3VydmVyX8RpbEU9Mi8xNy8yMFDEEHGcfRgzQ6NTAgdEoaeFzbF92YWxIZTO0U0ezN1IzMyfvcEdsEfeDeKiNkVN3PTOmdFseWRtaW51aiPhnPTI2/btvbd-office-sg.stream/index.m3u8,bd-playlist-test-results.csv,,app24.jagobd.com.bd,reports\bd-playlist-test-results.csv,,OFFLINE,200,application/vnd.apple.mpegurl,,NO,NO,,NO,,NO,NO,,NO,,Y,2026-08-20T14:00:04,
BTV News,BTV News,News,https://www.btvlive.gov.bd/live/37f2df30-3edf-42f3-a2ee-6185002c841c/BD/d96eb7f4-83c2-4472-9597-3568390a8ebf/index.m3u8,https://www.btvlive.gov.bd/live/37f2df30-3edf-42f3-a2ee-6185002c841c/BD/d96eb7f4-83c2-4472-9597-3568390a8ebf/index.m3u8,Official BTV live domain,https://streamtest.in/logs/https-www-btvlive-gov-bd-live-37f2df30-3edf-42f3-a2ee-6185002c841c-bd-d96eb7f4-83c2-4472-9597-3568390a8ebf-index-m3u8-e705c8ad-0a04-4947-91db-f8fb7d049dcb,www.btvlive.gov.bd,,,RESTRICTED,403,,,YES,NO,,NO,,NO,NO,,NO,,YES,2026-08-20T14:22:48,"Public/open candidate only. No credential, cookie, DRM, MAC/device, or subscription bypass used. Public reachability does not establish redistribution rights."
BTV World,BTV World,General,http://103.106.2.149:13456/btv_world.m3u8,http://103.106.2.149:13456/btv_world.m3u8,Recent public playlist,https://pastecode.io/s/3oersjbd,103.106.2.149:13456,,,OFFLINE,,,,SOURCE_CLAIM,NO,,NO,,NO,NO,,NO,,YES,2026-08-20T14:23:49,"Public/open candidate only. No credential, cookie, DRM, MAC/device, or subscription bypass used. Public reachability does not establish redistribution rights."
BTV World,BTV World,General,http://103.115.159.38:8080/live/asifmtbsl/asifmtbsl/96.m3u8,http://103.115.159.38:8080/live/asifmtbsl/asifmtbsl/96.m3u8,Public BDIX index,https://gist.github.com/omarufulislam/8ad36f95107343825ea80fb541fd9652,103.115.159.38:8080,,,OFFLINE,,,,SOURCE_CLAIM,NO,,NO,,NO,NO,,NO,,YES,2026-08-20T14:23:29,"Public/open candidate only. No credential, cookie, DRM, MAC/device, or subscription bypass used. Public reachability does not establish redistribution rights."
BTV World,BTV World,General,http://103.205.133.14/hls/btvworld.m3u8,http://103.205.133.14/hls/btvworld.m3u8,Public BDIX index,https://gist.github.com/omarufulislam/8ad36f95107343825ea80fb541fd9652,103.205.133.14,,,OFFLINE,,,,SOURCE_CLAIM,NO,,NO,,NO,NO,,NO,,YES,2026-08-20T14:23:09,"Public/open candidate only. No credential, cookie, DRM, MAC/device, or subscription bypass used. Public reachability does not establish redistribution rights."
BTV World,BTV World,General,http://103.205.133.19/hls/btvworld.m3u8,http://103.205.133.19/hls/btvworld.m3u8,Public BDIX index,https://gist.github.com/omarufulislam/8ad36f95107343825ea80fb541fd9652,103.205.133.19,,,OFFLINE,,,,SOURCE_CLAIM,NO,,NO,,NO,NO,,NO,,YES,2026-08-20T14:23:19,"Public/open candidate only. No credential, cookie, DRM, MAC/device, or subscription bypass used. Public reachability does not establish redistribution rights."
BTV World,BTV World,General,http://103.205.133.42:1935/local/btv_world_720/index.m3u8,http://103.205.133.42:1935/local/btv_world_720/index.m3u8,Public BDIX index,https://gist.github.com/omarufulislam/8ad36f95107343825ea80fb541fd9652,103.205.133.42:1935,,,OFFLINE,,,,SOURCE_CLAIM,NO,,NO,,NO,NO,,NO,,YES,2026-08-20T14:22:59,"Public/open candidate only. No credential, cookie, DRM, MAC/device, or subscription bypass used. Public reachability does not establish redistribution rights."
BTV World,BTV World,General,http://163.172.29.246:8081/globalbd/btv/chunks.m3u8,http://163.172.29.246:8081/globalbd/btv/chunks.m3u8,Public Bangladesh index,https://github.com/wukuy/IPTV2021-1/blob/main/IPTV2021,163.172.29.246:8081,,,OFFLINE,,,,SOURCE_CLAIM,NO,,NO,,NO,NO,,NO,,YES,2026-08-20T14:23:39,"Public/open candidate only. No credential, cookie, DRM, MAC/device, or subscription bypass used. Public reachability does not establish redistribution rights."
BTV World,BTV World,General,https://bdsl.jagobd.com:444/cZVydmVyX8RpbEU9Mi8xNy8yMDE0GIDU6RgzQ6NTAgdEoaeFzbF92YWxIZT00U0ezN1IzMyfvcGVMZEJCTEFWeVN3PTOmdFsaWRtaW51aiPhnPTI/btvbd-office-sg.stream/chunks.m3u8,https://bdsl.jagobd.com:444/cZVydmVyX8RpbEU9Mi8xNy8yMDE0GIDU6RgzQ6NTAgdEoaeFzbF92YWxIZT00U0ezN1IzMyfvcGVMZEJCTEFWeVN3PTOmdFsaWRtaW51aiPhnPTI/btvbd-office-sg.stream/chunks.m3u8,Public Bangladesh playlist index,https://github.com/wukuy/IPTV2021-1/blob/main/IPTV2021,bdsl.jagobd.com:444,,,OFFLINE,,,,SOURCE_CLAIM,NO,,NO,,NO,NO,,NO,,YES,2026-08-20T14:15:07,Public/open candidate added for local testing. No authentication bypass used. Redistribution/hosting rights are not established; do not publish solely because it is reachable.
BTV World,BTV World,General,https://bol.iptv.digijadoo.net/live/btv_world/chunks.m3u8,https://bol.iptv.digijadoo.net/live/btv_world/chunks.m3u8,Public IPTV index,https://gist.github.com/omarufulislam/8ad36f95107343825ea80fb541fd9652,bol.iptv.digijadoo.net,,,OFFLINE,,,,SOURCE_CLAIM,NO,,NO,,NO,NO,,NO,,YES,2026-08-20T14:22:49,"Public/open candidate only. No credential, cookie, DRM, MAC/device, or subscription bypass used. Public reachability does not establish redistribution rights."
